Rôle;Nom;Session;Pays;Ville;"Event Date	";Prédev;Dev;Prod;WIP ;Genre;Format;Submission opening;Deadline;Lien;Films;Restrictions
Fonds;Shore Scripts;Short Film Fund;USA;;;;x;;x;Fiction;CM;15/01/2025;02/04/2025;https://www.shorescripts.com/shortfilmfund/;;International short movie production competition 15 000$ production, 4 000 finishing 
Fonds;Shore Scripts;Script Competition;USA;;;x;x;;;Fiction;Feature-length;15/01/2025;02/04/2025;https://www.shorescripts.com/shortfilmfund/;;International script competition
Festival;AGLIFF / Prism;Queer Black Voices;USA;Austin;20/09/2025;;;;;;Tous;;01/04/2025;https://www.agliff.org/;;LGBTQI+ movies
Festival;BLACKSTAR;Competition;USA;Philadelphia;31/07/2025;;;;;Tous;Tous;;01/04/2025;https://www.blackstarfest.org/festival/submissions/;;Black director, African Topics,
Festival;FIDMarseille;;France;Marseille;08/07/2025;;;;;;Feature-length;;31/03/2025;https://fidmarseille.org/;;Ecritures singulières, international
Fonds;mama cahs;Resilience fund;Netherlands;;;;x;x;x;Doc;Tous;03/03/2025;31/03/2025;https://www.mamacash.org/apply-for-a-grant/;;Women directors on women topics, global south mainly (1 film granted only before) +- 35000€ 
Festival;Brussels IFF;;Belgium;Brussel;20/06/2025;;;;;Fiction;Feature-length;;31/03/2025;https://briff.be/inscrire-un-film/;;International filmmakers
Festival;GAZE;LGBT;Irelande;Dublin;31/07/2025;;;;;Tous;Tous;;30/03/2025;https://www.gaze.ie/;;LGBTQ+ Festival
Fonds;Jerome Foundation;Production;USA;Minnesota;13/11/2025;;;x;;Tous;Tous;;28/03/2025;https://www.jeromefdn.org/minnesota-film-production-grant;;Minnesota AND NewYork City Director, Mentorship and fund up to 30000$
Festival;Brussels IFF;Co-pro Market;Belgium;Brussel;20/06/2025;;x;x;;Fiction;Feature-length;;24/03/2025;https://briff.be/2025/03/18/brussels-copromarket-call-for-projects/;;Gap financing European projects and early career producers
Festival;Brussels IFF;Pitch;Belgium;Brussel;20/06/2025;;x;x;;Fiction;Feature-length;;24/03/2025;https://briff.be/professionnels/pitch/;;Belgian filmmakers
Festival;Outshine;;USA;;17/04/2025;;;;;Tous;Feature-length;08/01/2025;20/03/2025;https://outshinefilm.com/film-entry;;Festival LGBT
Fonds;Hubert Bals ;Dev;Netherlands;Rotterdam;28/01/2025;x;x;;;Doc;Feature-length;;13/03/2025;https://iffr.com/en/hubert-bals-fund/hbf-practical-info-deadlines;Nuusiku;Feature Length over 60min, up to 10 000€ fund, the Director of Producer from Global south have to apply. Only possible if the project has not been selected to another lab
Program;IFFR ;Development Support;Netherlands;Rotterdam;;x;;;;Doc;Feature-length;;13/03/2025;https://www.kqff.co.kr/english/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=147847280&t=board;;Global South director, 10 000 for dev, must have found lesse than 25% of the budget, , early dev with less than 2 selectives subventions, 
Festival;Korean Queer Festival;Corée;Korea;Seoul;30/06/2025;;;;;;;;09/03/2025;https://www.kqff.co.kr/english/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=147847280&t=board;;International LGBTQI+ movies
Program;Realness Institute;African Screenwriters Residency;South Africa;;03/08/2025;x;;;;Fiction;Feature-length;;07/03/2025;https://www.kqff.co.kr/english/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=147847280&t=board;Nuusiku;Residency for African screenwriters and diaspora, an edition exists for serials
Festival;TIFF;Competition;Canada;Toronto;10/03/2025;;;;;;Feature-length;;06/03/2025;https://www.tiff.net/industry-writers-studio?mc_cid=e3a5ecc166https://www.wfcn.co/festival/toronto-tiff;;
Festival;Sarajevo FF;Co-pro Market;Bosnie;Sarajevo;15/08/2025;;x;;;;Feature-length;;28/02/2025;https://www.sff.ba/novost/12454/call-for-entries-cinelink-co-production-market-2025-at-sarajevo-film-festivals-cinelink-industry-days;;
Fonds;Visions sud est;;Suisse;Nyon;;;;x;x;;Feature-length;;28/02/2025;https://www.visionssudest.ch/how-to-apply;;"Différents pays du ""sud"", 30% budget fulfilled, Proposé par le producteur du pays d'origine. In english, réponses en juin"
Fonds;Berlinale ;World Cinema Fund;Germany;Berlin;;;;x;x;Tous;Feature-length;;27/02/2025;https://www.berlinale.de/en/wcf/funding-programmes/production-support/all-programmes.html;;Competition Internationale Premiere, Panorama European premiere, Normal = Producteur Allemand, Europe = Producteur Européen, film less than 1.400 000€, 60 000€for prod and 40 000€for post prod
Festival;Encounters;;South Africa;;19/06/2025;;;;;Doc;Feature-length;;24/02/2025;https://encounters.co.za/documentary-submission-rules/;;Best South African Film / Best International Film
Programm;NIPKOW;;Germany;Berlin;01/06/2025;;x;;;Feature;;;17/02/2025;https://nipkow.de/application;;2nd Movie at least or Major Festivals of short 
Fonds;Catapult Film Fund;Devlopment;USA;Minnesota;;;x;;;Doc;;;12/02/2025;https://catapultfilmfund.org/how-to-apply/development/guidelines-and-eligibility/;;International fund 25000USD for dev for Artful docs, US Director
;CPH:FORUM;;Danemark;Copenhague;;;x;x;;Doc;Feature-length;;12/02/2025;https://cphdox.dk/cphforum/;;
;CPH:ROUGHTCUP;;Danemark;Copenhague;23/03/2025;;;;x;Doc;Feature-length;;12/02/2025;https://cphdox.dk/cphroughcut/;;Project profile: creative and visually strong documentary projects with international potential intended for theatrical release, TV broadcasting, or other platforms, or those aiming for a premiere at a top film festival. Production Stage: at least 80% of the material already shot.
Festival;Alaka Film Lab;;Cameroun;;01/06/2025;;x;x;;Tous;Tous;;07/02/2025;https://cd.ambafrance.org/Le-Alaka-Film-Lab-revient-en-2025-Appel-a-projets-pour-l-Afrique-Centrale;;Présentations de projets des Pays d'afrique Centrales
Fonds;RedSea;;Arabie Saoudite;Djeddah;05/12/2025;;x;x;x;;Feature-length;;06/02/2025;https://redseafilmfest.com/en/red-sea-fund-2/;;Monde arabe et diaspora, MENA, Afrique, 
